../毕业设计/
├── 论文碎片
│   ├── 关于训练数据集的思考.docx
│   └── DOC Document.docx
├── config
│   ├── hybrid.yaml
│   ├── msd.yaml
│   └── ssgd.yaml
├── create_project1.sh
├── create_project.sh
├── dataset
│   ├── convert_msd_to_yolo.py
│   ├── convert_ssgd_to_yolo.py
│   ├── MSD_yolo
│   │   ├── data.yaml
│   │   ├── images
│   │   │   ├── train
│   │   │   │   ├── Oil_0203.jpg.png
│   │   │   │   ├── Oil_0204.jpg.png
│   │   │   │   ├── Oil_0205.jpg.png
│   │   │   │   ├── Oil_0206.jpg.png
│   │   │   │   ├── Oil_0207.jpg.png
│   │   │   │   ├── Oil_0208.jpg.png
│   │   │   │   ├── Oil_0209.jpg.png
│   │   │   │   ├── Oil_0211.jpg.png
│   │   │   │   ├── Oil_0212.jpg.png
│   │   │   │   ├── Oil_0213.jpg.png
│   │   │   │   ├── Oil_0214.jpg.png
│   │   │   │   ├── Oil_0215.jpg.png
│   │   │   │   ├── Oil_0216.jpg.png
│   │   │   │   ├── Oil_0218.jpg.png
│   │   │   │   ├── Oil_0219.jpg.png
│   │   │   │   ├── Oil_0220.jpg.png
│   │   │   │   ├── Oil_0222.jpg.png
│   │   │   │   ├── Oil_0223.jpg.png
│   │   │   │   ├── Oil_0225.jpg.png
│   │   │   │   ├── Oil_0226.jpg.png
│   │   │   │   ├── Oil_0227.jpg.png
│   │   │   │   ├── Oil_0228.jpg.png
│   │   │   │   ├── Oil_0230.jpg.png
│   │   │   │   ├── Oil_0232.jpg.png
│   │   │   │   ├── Oil_0233.jpg.png
│   │   │   │   ├── Oil_0234.jpg.png
│   │   │   │   ├── Oil_0235.jpg.png
│   │   │   │   ├── Oil_0236.jpg.png
│   │   │   │   ├── Oil_0237.jpg.png
│   │   │   │   ├── Oil_0238.jpg.png
│   │   │   │   ├── Oil_0239.jpg.png
│   │   │   │   ├── Oil_0240.jpg.png
│   │   │   │   ├── Oil_0242.jpg.png
│   │   │   │   ├── Oil_0244.jpg.png
│   │   │   │   ├── Oil_0246.jpg.png
│   │   │   │   ├── Oil_0248.jpg.png
│   │   │   │   ├── Oil_0250.jpg.png
│   │   │   │   ├── Oil_0251.jpg.png
│   │   │   │   ├── Oil_0252.jpg.png
│   │   │   │   ├── Oil_0253.jpg.png
│   │   │   │   ├── Oil_0254.jpg.png
│   │   │   │   ├── Oil_0256.jpg.png
│   │   │   │   ├── Oil_0257.jpg.png
│   │   │   │   ├── Oil_0258.jpg.png
│   │   │   │   ├── Oil_0259.jpg.png
│   │   │   │   ├── Oil_0260.jpg.png
│   │   │   │   ├── Oil_0261.jpg.png
│   │   │   │   ├── Oil_0263.jpg.png
│   │   │   │   ├── Oil_0264.jpg.png
│   │   │   │   ├── Oil_0268.jpg.png
│   │   │   │   ├── Oil_0269.jpg.png
│   │   │   │   ├── Oil_0270.jpg.png
│   │   │   │   ├── Oil_0272.jpg.png
│   │   │   │   ├── Oil_0273.jpg.png
│   │   │   │   ├── Oil_0274.jpg.png
│   │   │   │   ├── Oil_0275.jpg.png
│   │   │   │   ├── Oil_0276.jpg.png
│   │   │   │   ├── Oil_0277.jpg.png
│   │   │   │   ├── Oil_0278.jpg.png
│   │   │   │   ├── Oil_0279.jpg.png
│   │   │   │   ├── Oil_0280.jpg.png
│   │   │   │   ├── Oil_0282.jpg.png
│   │   │   │   ├── Oil_0283.jpg.png
│   │   │   │   ├── Oil_0284.jpg.png
│   │   │   │   ├── Oil_0285.jpg.png
│   │   │   │   ├── Oil_0286.jpg.png
│   │   │   │   ├── Oil_0287.jpg.png
│   │   │   │   ├── Oil_0288.jpg.png
│   │   │   │   ├── Oil_0289.jpg.png
│   │   │   │   ├── Oil_0290.jpg.png
│   │   │   │   ├── Oil_0291.jpg.png
│   │   │   │   ├── Oil_0292.jpg.png
│   │   │   │   ├── Oil_0294.jpg.png
│   │   │   │   ├── Oil_0295.jpg.png
│   │   │   │   ├── Oil_0296.jpg.png
│   │   │   │   ├── Oil_0297.jpg.png
│   │   │   │   ├── Oil_0298.jpg.png
│   │   │   │   ├── Oil_0299.jpg.png
│   │   │   │   ├── Oil_0300.jpg.png
│   │   │   │   ├── Oil_0301.jpg.png
│   │   │   │   ├── Oil_0302.jpg.png
│   │   │   │   ├── Oil_0303.jpg.png
│   │   │   │   ├── Oil_0304.jpg.png
│   │   │   │   ├── Oil_0305.jpg.png
│   │   │   │   ├── Oil_0306.jpg.png
│   │   │   │   ├── Oil_0307.jpg.png
│   │   │   │   ├── Oil_0308.jpg.png
│   │   │   │   ├── Oil_0309.jpg.png
│   │   │   │   ├── Oil_0310.jpg.png
│   │   │   │   ├── Oil_0311.jpg.png
│   │   │   │   ├── Oil_0312.jpg.png
│   │   │   │   ├── Oil_0313.jpg.png
│   │   │   │   ├── Oil_0314.jpg.png
│   │   │   │   ├── Oil_0316.jpg.png
│   │   │   │   ├── Oil_0318.jpg.png
│   │   │   │   ├── Oil_0319.jpg.png
│   │   │   │   ├── Oil_0320.jpg.png
│   │   │   │   ├── Oil_0321.jpg.png
│   │   │   │   ├── Oil_0322.jpg.png
│   │   │   │   ├── Oil_0324.jpg.png
│   │   │   │   ├── Oil_0325.jpg.png
│   │   │   │   ├── Oil_0326.jpg.png
│   │   │   │   ├── Oil_0327.jpg.png
│   │   │   │   ├── Oil_0328.jpg.png
│   │   │   │   ├── Oil_0330.jpg.png
│   │   │   │   ├── Oil_0331.jpg.png
│   │   │   │   ├── Oil_0332.jpg.png
│   │   │   │   ├── Oil_0333.jpg.png
│   │   │   │   ├── Oil_0334.jpg.png
│   │   │   │   ├── Oil_0335.jpg.png
│   │   │   │   ├── Oil_0336.jpg.png
│   │   │   │   ├── Oil_0338.jpg.png
│   │   │   │   ├── Oil_0340.jpg.png
│   │   │   │   ├── Oil_0341.jpg.png
│   │   │   │   ├── Oil_0342.jpg.png
│   │   │   │   ├── Oil_0343.jpg.png
│   │   │   │   ├── Oil_0344.jpg.png
│   │   │   │   ├── Oil_0345.jpg.png
│   │   │   │   ├── Oil_0346.jpg.png
│   │   │   │   ├── Oil_0348.jpg.png
│   │   │   │   ├── Oil_0349.jpg.png
│   │   │   │   ├── Oil_0350.jpg.png
│   │   │   │   ├── Oil_0351.jpg.png
│   │   │   │   ├── Oil_0353.jpg.png
│   │   │   │   ├── Oil_0354.jpg.png
│   │   │   │   ├── Oil_0356.jpg.png
│   │   │   │   ├── Oil_0357.jpg.png
│   │   │   │   ├── Oil_0358.jpg.png
│   │   │   │   ├── Oil_0359.jpg.png
│   │   │   │   ├── Oil_0360.jpg.png
│   │   │   │   ├── Oil_0361.jpg.png
│   │   │   │   ├── Oil_0362.jpg.png
│   │   │   │   ├── Oil_0363.jpg.png
│   │   │   │   ├── Oil_0365.jpg.png
│   │   │   │   ├── Oil_0366.jpg.png
│   │   │   │   ├── Oil_0367.jpg.png
│   │   │   │   ├── Oil_0369.jpg.png
│   │   │   │   ├── Oil_0370.jpg.png
│   │   │   │   ├── Oil_0371.jpg.png
│   │   │   │   ├── Oil_0372.jpg.png
│   │   │   │   ├── Oil_0375.jpg.png
│   │   │   │   ├── Oil_0376.jpg.png
│   │   │   │   ├── Oil_0377.jpg.png
│   │   │   │   ├── Oil_0378.jpg.png
│   │   │   │   ├── Oil_0379.jpg.png
│   │   │   │   ├── Oil_0380.jpg.png
│   │   │   │   ├── Oil_0381.jpg.png
│   │   │   │   ├── Oil_0382.jpg.png
│   │   │   │   ├── Oil_0383.jpg.png
│   │   │   │   ├── Oil_0384.jpg.png
│   │   │   │   ├── Oil_0385.jpg.png
│   │   │   │   ├── Oil_0386.jpg.png
│   │   │   │   ├── Oil_0387.jpg.png
│   │   │   │   ├── Oil_0388.jpg.png
│   │   │   │   ├── Oil_0389.jpg.png
│   │   │   │   ├── Oil_0392.jpg.png
│   │   │   │   ├── Oil_0393.jpg.png
│   │   │   │   ├── Oil_0394.jpg.png
│   │   │   │   ├── Oil_0395.jpg.png
│   │   │   │   ├── Oil_0397.jpg.png
│   │   │   │   ├── Oil_0398.jpg.png
│   │   │   │   ├── Oil_0399.jpg.png
│   │   │   │   ├── Oil_0400.jpg.png
│   │   │   │   ├── Scr_0001.jpg.png
│   │   │   │   ├── Scr_0003.jpg.png
│   │   │   │   ├── Scr_0004.jpg.png
│   │   │   │   ├── Scr_0005.jpg.png
│   │   │   │   ├── Scr_0007.jpg.png
│   │   │   │   ├── Scr_0008.jpg.png
│   │   │   │   ├── Scr_0009.jpg.png
│   │   │   │   ├── Scr_0010.jpg.png
│   │   │   │   ├── Scr_0011.jpg.png
│   │   │   │   ├── Scr_0012.jpg.png
│   │   │   │   ├── Scr_0013.jpg.png
│   │   │   │   ├── Scr_0014.jpg.png
│   │   │   │   ├── Scr_0015.jpg.png
│   │   │   │   ├── Scr_0016.jpg.png
│   │   │   │   ├── Scr_0017.jpg.png
│   │   │   │   ├── Scr_0018.jpg.png
│   │   │   │   ├── Scr_0021.jpg.png
│   │   │   │   ├── Scr_0022.jpg.png
│   │   │   │   ├── Scr_0023.jpg.png
│   │   │   │   ├── Scr_0024.jpg.png
│   │   │   │   ├── Scr_0025.jpg.png
│   │   │   │   ├── Scr_0026.jpg.png
│   │   │   │   ├── Scr_0028.jpg.png
│   │   │   │   ├── Scr_0029.jpg.png
│   │   │   │   ├── Scr_0030.jpg.png
│   │   │   │   ├── Scr_0031.jpg.png
│   │   │   │   ├── Scr_0032.jpg.png
│   │   │   │   ├── Scr_0033.jpg.png
│   │   │   │   ├── Scr_0035.jpg.png
│   │   │   │   ├── Scr_0036.jpg.png
│   │   │   │   ├── Scr_0038.jpg.png
│   │   │   │   ├── Scr_0039.jpg.png
│   │   │   │   ├── Scr_0040.jpg.png
│   │   │   │   ├── Scr_0041.jpg.png
│   │   │   │   ├── Scr_0043.jpg.png
│   │   │   │   ├── Scr_0044.jpg.png
│   │   │   │   ├── Scr_0045.jpg.png
│   │   │   │   ├── Scr_0046.jpg.png
│   │   │   │   ├── Scr_0047.jpg.png
│   │   │   │   ├── Scr_0048.jpg.png
│   │   │   │   ├── Scr_0049.jpg.png
│   │   │   │   ├── Scr_0050.jpg.png
│   │   │   │   ├── Scr_0051.jpg.png
│   │   │   │   ├── Scr_0055.jpg.png
│   │   │   │   ├── Scr_0056.jpg.png
│   │   │   │   ├── Scr_0058.jpg.png
│   │   │   │   ├── Scr_0059.jpg.png
│   │   │   │   ├── Scr_0060.jpg.png
│   │   │   │   ├── Scr_0061.jpg.png
│   │   │   │   ├── Scr_0062.jpg.png
│   │   │   │   ├── Scr_0063.jpg.png
│   │   │   │   ├── Scr_0064.jpg.png
│   │   │   │   ├── Scr_0065.jpg.png
│   │   │   │   ├── Scr_0067.jpg.png
│   │   │   │   ├── Scr_0069.jpg.png
│   │   │   │   ├── Scr_0071.jpg.png
│   │   │   │   ├── Scr_0073.jpg.png
│   │   │   │   ├── Scr_0074.jpg.png
│   │   │   │   ├── Scr_0075.jpg.png
│   │   │   │   ├── Scr_0076.jpg.png
│   │   │   │   ├── Scr_0077.jpg.png
│   │   │   │   ├── Scr_0078.jpg.png
│   │   │   │   ├── Scr_0079.jpg.png
│   │   │   │   ├── Scr_0080.jpg.png
│   │   │   │   ├── Scr_0081.jpg.png
│   │   │   │   ├── Scr_0082.jpg.png
│   │   │   │   ├── Scr_0084.jpg.png
│   │   │   │   ├── Scr_0085.jpg.png
│   │   │   │   ├── Scr_0086.jpg.png
│   │   │   │   ├── Scr_0087.jpg.png
│   │   │   │   ├── Scr_0088.jpg.png
│   │   │   │   ├── Scr_0089.jpg.png
│   │   │   │   ├── Scr_0090.jpg.png
│   │   │   │   ├── Scr_0091.jpg.png
│   │   │   │   ├── Scr_0093.jpg.png
│   │   │   │   ├── Scr_0094.jpg.png
│   │   │   │   ├── Scr_0095.jpg.png
│   │   │   │   ├── Scr_0097.jpg.png
│   │   │   │   ├── Scr_0099.jpg.png
│   │   │   │   ├── Scr_0100.jpg.png
│   │   │   │   ├── Scr_0101.jpg.png
│   │   │   │   ├── Scr_0102.jpg.png
│   │   │   │   ├── Scr_0103.jpg.png
│   │   │   │   ├── Scr_0104.jpg.png
│   │   │   │   ├── Scr_0105.jpg.png
│   │   │   │   ├── Scr_0106.jpg.png
│   │   │   │   ├── Scr_0107.jpg.png
│   │   │   │   ├── Scr_0108.jpg.png
│   │   │   │   ├── Scr_0109.jpg.png
│   │   │   │   ├── Scr_0110.jpg.png
│   │   │   │   ├── Scr_0113.jpg.png
│   │   │   │   ├── Scr_0114.jpg.png
│   │   │   │   ├── Scr_0115.jpg.png
│   │   │   │   ├── Scr_0116.jpg.png
│   │   │   │   ├── Scr_0117.jpg.png
│   │   │   │   ├── Scr_0118.jpg.png
│   │   │   │   ├── Scr_0119.jpg.png
│   │   │   │   ├── Scr_0120.jpg.png
│   │   │   │   ├── Scr_0123.jpg.png
│   │   │   │   ├── Scr_0125.jpg.png
│   │   │   │   ├── Scr_0126.jpg.png
│   │   │   │   ├── Scr_0127.jpg.png
│   │   │   │   ├── Scr_0128.jpg.png
│   │   │   │   ├── Scr_0129.jpg.png
│   │   │   │   ├── Scr_0130.jpg.png
│   │   │   │   ├── Scr_0131.jpg.png
│   │   │   │   ├── Scr_0133.jpg.png
│   │   │   │   ├── Scr_0134.jpg.png
│   │   │   │   ├── Scr_0135.jpg.png
│   │   │   │   ├── Scr_0136.jpg.png
│   │   │   │   ├── Scr_0137.jpg.png
│   │   │   │   ├── Scr_0138.jpg.png
│   │   │   │   ├── Scr_0139.jpg.png
│   │   │   │   ├── Scr_0140.jpg.png
│   │   │   │   ├── Scr_0141.jpg.png
│   │   │   │   ├── Scr_0142.jpg.png
│   │   │   │   ├── Scr_0143.jpg.png
│   │   │   │   ├── Scr_0144.jpg.png
│   │   │   │   ├── Scr_0145.jpg.png
│   │   │   │   ├── Scr_0146.jpg.png
│   │   │   │   ├── Scr_0148.jpg.png
│   │   │   │   ├── Scr_0149.jpg.png
│   │   │   │   ├── Scr_0150.jpg.png
│   │   │   │   ├── Scr_0152.jpg.png
│   │   │   │   ├── Scr_0153.jpg.png
│   │   │   │   ├── Scr_0154.jpg.png
│   │   │   │   ├── Scr_0155.jpg.png
│   │   │   │   ├── Scr_0156.jpg.png
│   │   │   │   ├── Scr_0157.jpg.png
│   │   │   │   ├── Scr_0158.jpg.png
│   │   │   │   ├── Scr_0159.jpg.png
│   │   │   │   ├── Scr_0160.jpg.png
│   │   │   │   ├── Scr_0161.jpg.png
│   │   │   │   ├── Scr_0162.jpg.png
│   │   │   │   ├── Scr_0163.jpg.png
│   │   │   │   ├── Scr_0164.jpg.png
│   │   │   │   ├── Scr_0165.jpg.png
│   │   │   │   ├── Scr_0167.jpg.png
│   │   │   │   ├── Scr_0168.jpg.png
│   │   │   │   ├── Scr_0169.jpg.png
│   │   │   │   ├── Scr_0170.jpg.png
│   │   │   │   ├── Scr_0171.jpg.png
│   │   │   │   ├── Scr_0173.jpg.png
│   │   │   │   ├── Scr_0174.jpg.png
│   │   │   │   ├── Scr_0175.jpg.png
│   │   │   │   ├── Scr_0176.jpg.png
│   │   │   │   ├── Scr_0177.jpg.png
│   │   │   │   ├── Scr_0178.jpg.png
│   │   │   │   ├── Scr_0179.jpg.png
│   │   │   │   ├── Scr_0180.jpg.png
│   │   │   │   ├── Scr_0181.jpg.png
│   │   │   │   ├── Scr_0182.jpg.png
│   │   │   │   ├── Scr_0183.jpg.png
│   │   │   │   ├── Scr_0184.jpg.png
│   │   │   │   ├── Scr_0185.jpg.png
│   │   │   │   ├── Scr_0186.jpg.png
│   │   │   │   ├── Scr_0187.jpg.png
│   │   │   │   ├── Scr_0188.jpg.png
│   │   │   │   ├── Scr_0189.jpg.png
│   │   │   │   ├── Scr_0190.jpg.png
│   │   │   │   ├── Scr_0191.jpg.png
│   │   │   │   ├── Scr_0192.jpg.png
│   │   │   │   ├── Scr_0193.jpg.png
│   │   │   │   ├── Scr_0195.jpg.png
│   │   │   │   ├── Scr_0196.jpg.png
│   │   │   │   ├── Scr_0197.jpg.png
│   │   │   │   ├── Scr_0198.jpg.png
│   │   │   │   ├── Scr_0199.jpg.png
│   │   │   │   ├── Scr_0200.jpg.png
│   │   │   │   ├── Scr_0201.jpg.png
│   │   │   │   ├── Scr_0202.jpg.png
│   │   │   │   ├── Scr_0203.jpg.png
│   │   │   │   ├── Scr_0204.jpg.png
│   │   │   │   ├── Scr_0206.jpg.png
│   │   │   │   ├── Scr_0207.jpg.png
│   │   │   │   ├── Scr_0208.jpg.png
│   │   │   │   ├── Scr_0209.jpg.png
│   │   │   │   ├── Scr_0210.jpg.png
│   │   │   │   ├── Scr_0213.jpg.png
│   │   │   │   ├── Scr_0214.jpg.png
│   │   │   │   ├── Scr_0216.jpg.png
│   │   │   │   ├── Scr_0218.jpg.png
│   │   │   │   ├── Scr_0220.jpg.png
│   │   │   │   ├── Scr_0221.jpg.png
│   │   │   │   ├── Scr_0222.jpg.png
│   │   │   │   ├── Scr_0224.jpg.png
│   │   │   │   ├── Scr_0226.jpg.png
│   │   │   │   ├── Scr_0227.jpg.png
│   │   │   │   ├── Scr_0228.jpg.png
│   │   │   │   ├── Scr_0229.jpg.png
│   │   │   │   ├── Scr_0230.jpg.png
│   │   │   │   ├── Scr_0231.jpg.png
│   │   │   │   ├── Scr_0233.jpg.png
│   │   │   │   ├── Scr_0235.jpg.png
│   │   │   │   ├── Scr_0236.jpg.png
│   │   │   │   ├── Scr_0237.jpg.png
│   │   │   │   ├── Scr_0238.jpg.png
│   │   │   │   ├── Scr_0239.jpg.png
│   │   │   │   ├── Scr_0241.jpg.png
│   │   │   │   ├── Scr_0242.jpg.png
│   │   │   │   ├── Scr_0244.jpg.png
│   │   │   │   ├── Scr_0245.jpg.png
│   │   │   │   ├── Scr_0247.jpg.png
│   │   │   │   ├── Scr_0248.jpg.png
│   │   │   │   ├── Scr_0249.jpg.png
│   │   │   │   ├── Scr_0250.jpg.png
│   │   │   │   ├── Scr_0252.jpg.png
│   │   │   │   ├── Scr_0253.jpg.png
│   │   │   │   ├── Scr_0255.jpg.png
│   │   │   │   ├── Scr_0256.jpg.png
│   │   │   │   ├── Scr_0259.jpg.png
│   │   │   │   ├── Scr_0260.jpg.png
│   │   │   │   ├── Scr_0261.jpg.png
│   │   │   │   ├── Scr_0262.jpg.png
│   │   │   │   ├── Scr_0263.jpg.png
│   │   │   │   ├── Scr_0264.jpg.png
│   │   │   │   ├── Scr_0265.jpg.png
│   │   │   │   ├── Scr_0266.jpg.png
│   │   │   │   ├── Scr_0268.jpg.png
│   │   │   │   ├── Scr_0270.jpg.png
│   │   │   │   ├── Scr_0271.jpg.png
│   │   │   │   ├── Scr_0272.jpg.png
│   │   │   │   ├── Scr_0273.jpg.png
│   │   │   │   ├── Scr_0274.jpg.png
│   │   │   │   ├── Scr_0275.jpg.png
│   │   │   │   ├── Scr_0276.jpg.png
